起点,终点,ori_x,ori_y,end_x,end_y,ridership
万年场街道,西华街道,104.12474778803707,30.65330128909081,104.01528703902667,30.73186695271798,1
万年场街道,西御河街道,104.12474778803707,30.65330128909081,104.06362875164112,30.66598225344833,2
万年场街道,跳伞塔街道,104.12474778803707,30.65330128909081,104.08192656084438,30.633251754590415,2
万年场街道,跳蹬河街道,104.12474778803707,30.65330128909081,104.12276490519686,30.669026680129928,10
万年场街道,金泉街道,104.12474778803707,30.65330128909081,103.9876260259853,30.716361170590606,2
万年场街道,青龙街道,104.12474778803707,30.65330128909081,104.12065709938953,30.720884772946164,5
万年场街道,驷马桥街道,104.12474778803707,30.65330128909081,104.08421894300206,30.68468469689687,4
万年场街道,龙潭街道,104.12474778803707,30.65330128909081,104.17777027590506,30.70354757273816,6
三圣街道,书院街街道,104.137199203032,30.57667039363897,104.0863687508597,30.6639549159326,1
三圣街道,双水碾街道,104.137199203032,30.57667039363897,104.07961944282927,30.707143301075934,2
三圣街道,少城街道,104.137199203032,30.57667039363897,104.0526301486993,30.668690512829034,1
三圣街道,新华西路街,104.137199203032,30.57667039363897,104.0608881713822,30.678169811235552,1
三圣街道,桃蹊路街道,104.137199203032,30.57667039363897,104.10824686426022,30.685481416810507,1
三圣街道,水井坊街道,104.137199203032,30.57667039363897,104.08694280849765,30.649077025663395,1
三圣街道,猛追湾街道,104.137199203032,30.57667039363897,104.09338649423138,30.664809688800787,2
三圣街道,盐市口街道,104.137199203032,30.57667039363897,104.06854394913813,30.658999094459663,3
三圣街道,草市街街道,104.137199203032,30.57667039363897,104.07077381074879,30.67480564890668,1
三圣街道,西安路街道,104.137199203032,30.57667039363897,104.03973997587613,30.67520176315635,1
三圣街道,青龙街道,104.137199203032,30.57667039363897,104.12065709938953,30.720884772946164,2
三河街道,万年场街道,104.15149724634394,30.76956322359214,104.12474778803707,30.65330128909081,1
三河街道,九里堤街道,104.15149724634394,30.76956322359214,104.04274989758682,30.71336015274653,2
三河街道,书院街街道,104.15149724634394,30.76956322359214,104.0863687508597,30.6639549159326,1
三河街道,人民北路街,104.15149724634394,30.76956322359214,104.06130032345499,30.683927523404815,2
三河街道,双水碾街道,104.15149724634394,30.76956322359214,104.07961944282927,30.707143301075934,5
三河街道,合江亭街道,104.15149724634394,30.76956322359214,104.07926888803063,30.65222415771668,3
三河街道,府青路街道,104.15149724634394,30.76956322359214,104.10035267124348,30.692293927826466,3
三河街道,建设路街道,104.15149724634394,30.76956322359214,104.10697562483489,30.67462887318019,2
三河街道,桂溪街道,104.15149724634394,30.76956322359214,104.05807678674662,30.562785458752113,1
三河街道,桃蹊路街道,104.15149724634394,30.76956322359214,104.10824686426022,30.685481416810507,2
三河街道,荷花池街道,104.15149724634394,30.76956322359214,104.06914504518326,30.692033790146894,1
三河街道,跳蹬河街道,104.15149724634394,30.76956322359214,104.12276490519686,30.669026680129928,1
三河街道,青龙街道,104.15149724634394,30.76956322359214,104.12065709938953,30.720884772946164,13
东光街道,万年场街道,104.0937010533027,30.61922927889487,104.12474778803707,30.65330128909081,1
东光街道,三河街道,104.0937010533027,30.61922927889487,104.15149724634394,30.76956322359214,1
东光街道,书院街街道,104.0937010533027,30.61922927889487,104.0863687508597,30.6639549159326,1
东光街道,二仙桥街道,104.0937010533027,30.61922927889487,104.13109687239829,30.684445028224047,2
东光街道,人民北路街,104.0937010533027,30.61922927889487,104.06130032345499,30.683927523404815,1
东光街道,光华街道,104.0937010533027,30.61922927889487,104.01593992429801,30.664644775526085,1
东光街道,双桥子街道,104.0937010533027,30.61922927889487,104.10279938168559,30.652797482326527,1
东光街道,双水碾街道,104.0937010533027,30.61922927889487,104.07961944282927,30.707143301075934,3
