起点id,终点id,序号,起点,终点,路径,长度/m
2378,2374,1,1,61,"1,f,e,d,61",1833
2378,2374,2,1,61,"1,f,e,c,61",2035
2378,2374,3,1,61,"1,2,a,b,61",2053
2378,2374,4,1,61,"1,f,e,f,e,d,61",2093
2379,2381,1,5,61,"5,b,61",987
2379,2381,2,5,61,"5,6,61",1014
2379,2381,3,5,61,"5,6,62,c,61",1569
2379,2381,4,5,61,"5,6,62,6,61",1704
2399,2401,1,13,62,"13,1,f,e,c,62",3310
2399,2401,2,13,62,"13,1,f,e,d,61,c,62",3508
2399,2401,3,13,62,"13,1,f,e,f,e,c,62",3570
2399,2401,4,13,62,"13,1,f,e,d,61,6,62",3643
2401,2400,1,61,62,"61,c,62",790
2401,2400,2,61,62,"61,6,62",925
2401,2400,3,61,62,"61,b,5,6,62",1766
2401,2400,4,61,62,"61,6,5,6,62",1793
2415,2420,1,1,61,"1,f,e,d,61",1833
2415,2420,2,1,61,"1,f,e,c,61",2035
2415,2420,3,1,61,"1,2,a,b,61",2053
2415,2420,4,1,61,"1,f,e,f,e,d,61",2093
2420,2418,1,2,61,"2,a,b,61",1327
2420,2418,2,2,61,"2,f,e,d,61",1463
2420,2418,3,2,61,"2,a,d,61",1536
2420,2418,4,2,61,"2,f,e,c,61",1665
2417,2421,1,1,61,"1,f,e,d,61",1833
2417,2421,2,1,61,"1,f,e,c,61",2035
2417,2421,3,1,61,"1,2,a,b,61",2053
2417,2421,4,1,61,"1,f,e,f,e,d,61",2093
2436,2431,1,1,61,"1,f,e,d,61",1833
2436,2431,2,1,61,"1,f,e,c,61",2035
2436,2431,3,1,61,"1,2,a,b,61",2053
2436,2431,4,1,61,"1,f,e,f,e,d,61",2093
2441,2440,1,61,62,"61,c,62",790
2441,2440,2,61,62,"61,6,62",925
2441,2440,3,61,62,"61,b,5,6,62",1766
2441,2440,4,61,62,"61,6,5,6,62",1793
2445,2444,1,61,62,"61,c,62",790
2445,2444,2,61,62,"61,6,62",925
2445,2444,3,61,62,"61,b,5,6,62",1766
2445,2444,4,61,62,"61,6,5,6,62",1793
2451,2457,1,1,62,"1,f,e,c,62",2425
2451,2457,2,1,62,"1,f,e,d,61,c,62",2623
2451,2457,3,1,62,"1,f,e,f,e,c,62",2685
2451,2457,4,1,62,"1,f,e,d,61,6,62",2758
2457,2452,1,1,62,"1,f,e,c,62",2425
2457,2452,2,1,62,"1,f,e,d,61,c,62",2623
2457,2452,3,1,62,"1,f,e,f,e,c,62",2685
2457,2452,4,1,62,"1,f,e,d,61,6,62",2758
2454,2456,1,1,61,"1,f,e,d,61",1833
2454,2456,2,1,61,"1,f,e,c,61",2035
2454,2456,3,1,61,"1,2,a,b,61",2053
2454,2456,4,1,61,"1,f,e,f,e,d,61",2093
2465,2464,1,2,62,"2,f,e,c,62",2055
2465,2464,2,2,62,"2,a,b,61,c,62",2117
2465,2464,3,2,62,"2,a,b,5,6,62",2159
2465,2464,4,2,62,"2,a,b,61,6,62",2252
2469,2466,1,1,62,"1,f,e,c,62",2425
2469,2466,2,1,62,"1,f,e,d,61,c,62",2623
2469,2466,3,1,62,"1,f,e,f,e,c,62",2685
2469,2466,4,1,62,"1,f,e,d,61,6,62",2758
2473,2470,1,1,62,"1,f,e,c,62",2425
2473,2470,2,1,62,"1,f,e,d,61,c,62",2623
2473,2470,3,1,62,"1,f,e,f,e,c,62",2685
2473,2470,4,1,62,"1,f,e,d,61,6,62",2758
2475,2477,1,1,61,"1,f,e,d,61",1833
2475,2477,2,1,61,"1,f,e,c,61",2035
2475,2477,3,1,61,"1,2,a,b,61",2053
2475,2477,4,1,61,"1,f,e,f,e,d,61",2093
2488,2480,1,1,62,"1,f,e,c,62",2425
2488,2480,2,1,62,"1,f,e,d,61,c,62",2623
2488,2480,3,1,62,"1,f,e,f,e,c,62",2685
2488,2480,4,1,62,"1,f,e,d,61,6,62",2758
2491,2489,1,5,62,"5,6,62",779
2491,2489,2,5,62,"5,b,61,c,62",1777
2491,2489,3,5,62,"5,6,61,c,62",1804
2491,2489,4,5,62,"5,b,61,6,62",1912
2489,2490,1,5,61,"5,b,61",987
2489,2490,2,5,61,"5,6,61",1014
2489,2490,3,5,61,"5,6,62,c,61",1569
2489,2490,4,5,61,"5,6,62,6,61",1704
2490,2492,1,61,62,"61,c,62",790
2490,2492,2,61,62,"61,6,62",925
2490,2492,3,61,62,"61,b,5,6,62",1766
2490,2492,4,61,62,"61,6,5,6,62",1793
2497,2494,1,5,61,"5,b,61",987
2497,2494,2,5,61,"5,6,61",1014
2497,2494,3,5,61,"5,6,62,c,61",1569
2497,2494,4,5,61,"5,6,62,6,61",1704
2496,2498,1,5,61,"5,b,61",987
2496,2498,2,5,61,"5,6,61",1014
2496,2498,3,5,61,"5,6,62,c,61",1569
2496,2498,4,5,61,"5,6,62,6,61",1704
2509,2507,1,2,5,"2,a,b,5",1380
2509,2507,2,2,5,"2,a,b,61,b,5",2314
2509,2507,3,2,5,"2,a,b,61,6,5",2341
2509,2507,4,2,5,"2,a,b,a,b,5",2380
2512,2510,1,1,62,"1,f,e,c,62",2425
2512,2510,2,1,62,"1,f,e,d,61,c,62",2623
2512,2510,3,1,62,"1,f,e,f,e,c,62",2685
2512,2510,4,1,62,"1,f,e,d,61,6,62",2758
2525,2522,1,61,62,"61,c,62",790
2525,2522,2,61,62,"61,6,62",925
2525,2522,3,61,62,"61,b,5,6,62",1766
2525,2522,4,61,62,"61,6,5,6,62",1793
2522,2520,1,5,61,"5,b,61",987
2522,2520,2,5,61,"5,6,61",1014
2522,2520,3,5,61,"5,6,62,c,61",1569
2522,2520,4,5,61,"5,6,62,6,61",1704
2521,2523,1,5,61,"5,b,61",987
2521,2523,2,5,61,"5,6,61",1014
2521,2523,3,5,61,"5,6,62,c,61",1569
2521,2523,4,5,61,"5,6,62,6,61",1704
2534,2532,1,13,62,"13,1,f,e,c,62",3310
2534,2532,2,13,62,"13,1,f,e,d,61,c,62",3508
2534,2532,3,13,62,"13,1,f,e,f,e,c,62",3570
2534,2532,4,13,62,"13,1,f,e,d,61,6,62",3643
2548,2546,1,61,62,"61,c,62",790
2548,2546,2,61,62,"61,6,62",925
2548,2546,3,61,62,"61,b,5,6,62",1766
2548,2546,4,61,62,"61,6,5,6,62",1793
